file,ndvi_mean,ndvi_std,vh_mean,vv_mean,exg_mean
0A.tif,0.41390195,0.24732576,0.3334569,0.37159216,0.015440697763480393
0B.tif,0.39776683,0.2698034,0.26718277,0.44633073,0.03205733953737745
1000A.tif,0.90330106,0.10347737,0.5694674,0.61982393,0.11079269109987744
1000B.tif,0.7789974,0.14347126,0.6013727,0.58098793,0.14453938802083333
1001A.tif,0.43361187,0.14510572,0.4376801,0.33583722,0.022112438725490197
1001B.tif,0.47166497,0.14441095,0.25155628,0.44522995,0.025410012637867647
1002A.tif,0.66397965,0.06323228,0.5295222,0.46688935,0.002620921415441176
1002B.tif,0.53479296,0.06588234,0.51292574,0.4741319,0.019656192555147056
1003A.tif,0.66047114,0.15933196,0.27149034,0.37975112,0.07674560546875
1003B.tif,0.5127736,0.16508679,0.25770995,0.4214164,0.05308526731004902
1004A.tif,0.6123777,0.1413422,0.4838218,0.5065738,0.09490823184742647
1004B.tif,0.6053375,0.12671012,0.47358996,0.5222839,0.08895742378982843
1005A.tif,0.47000936,0.22188611,0.27911657,0.30698377,0.06770929074754903
1005B.tif,0.6055694,0.25484815,0.45304602,0.38613635,0.07153248506433824
1006A.tif,0.7284709,0.15640181,0.5147237,0.6020888,0.09765816482843137
1006B.tif,0.7317822,0.17250776,0.7020998,0.6882284,0.10852529488357844
1007A.tif,0.5415753,0.22512513,0.31613904,0.48835593,-0.005354817708333332
1007B.tif,0.5100443,0.2418332,0.34269777,0.506731,-0.010677562040441175
1008A.tif,0.619612,0.17414767,0.23749386,0.399944,0.05443952971813725
1008B.tif,0.7255316,0.13783827,0.2509123,0.48378915,0.061318790211397065
1009A.tif,0.7763786,0.1213885,0.6055819,0.6402956,0.07448347503063725
1009B.tif,0.7647906,0.13644195,0.6085533,0.7410804,0.0893322514552696
100A.tif,0.6011909,0.2273181,0.34681356,0.42624176,0.06972345090379903
100B.tif,0.7645848,0.16609254,0.37741938,0.48782015,0.11839408126531864
1010A.tif,0.35908818,0.13517888,0.2270138,0.26446164,-0.04557171989889706
1010B.tif,0.4017524,0.16518542,0.27977422,0.5350047,-0.022822840073529412
1011A.tif,0.78743756,0.112064,0.6004494,0.3111596,0.11481861787683825
1011B.tif,0.73759407,0.118779585,0.5522808,0.5175222,0.1346169864430147
1012A.tif,0.62782425,0.14140454,0.5665116,0.56505203,0.0712811638327206
1012B.tif,0.6259079,0.12194234,0.5035045,0.56483114,0.06893669577205883
1013A.tif,0.54105836,0.20739953,0.2676701,0.4796959,0.05388829848345589
1013B.tif,0.4914119,0.23594666,0.31473666,0.5364218,0.05777157054227942
1014A.tif,0.6498307,0.22855939,0.35518765,0.4558626,0.13424718520220588
1014B.tif,0.70538014,0.202502,0.41826266,0.5481798,0.13660768995098038
1015A.tif,0.7010368,0.12980768,0.28277105,0.3928517,0.09139212814031863
1015B.tif,0.66838825,0.18455812,0.43806717,0.41154057,0.10613032322303921
1016A.tif,0.72687775,0.07952246,0.5501404,0.6189668,0.0817327761182598
1016B.tif,0.7428255,0.0791899,0.5825689,0.47012538,0.08411554074754901
1017A.tif,0.72339463,0.13226284,0.53005546,0.4788506,0.12195781632965687
1017B.tif,0.7469701,0.11031895,0.54657996,0.52479374,0.11798358992034313
1018A.tif,0.564978,0.18124089,0.47836065,0.5069206,0.1383798636642157
1018B.tif,0.4975093,0.16848126,0.5427827,0.5438528,0.10805520450367648
1019A.tif,0.8240716,0.117340304,0.42779627,0.4904937,0.08668069278492646
1019B.tif,0.7119802,0.15609416,0.43968663,0.5535818,0.11741584329044119
101A.tif,0.8028524,0.09500089,0.56735086,0.68686384,0.1972711301317402
101B.tif,0.870819,0.07269765,0.5917092,0.57547474,0.19189141965379902
1020A.tif,0.56277454,0.15728562,0.25988036,0.44125137,0.04457576976102941
1020B.tif,0.57768226,0.13837792,0.30501515,0.52207696,0.029940257352941178
1021A.tif,0.61194557,0.15322532,0.5939839,0.57827014,0.07951157513786765
1021B.tif,0.74047655,0.15571061,0.61921,0.62061656,0.08597220626531862
1022A.tif,0.5172044,0.19327743,0.48714533,0.57199854,0.00971512140012255
1022B.tif,0.6409817,0.13857336,0.5062203,0.50981987,0.046397729013480396
1023A.tif,0.77042043,0.085183226,0.600919,0.615754,0.13220143037683824
1023B.tif,0.9154425,0.07759368,0.6801488,0.71035993,0.1382613836550245
1024A.tif,0.70195675,0.15763144,0.3384927,0.41065314,-0.001078766467524507
1024B.tif,0.48105553,0.14232779,0.33747494,0.5948283,-0.029989803538602942
1025A.tif,0.4453777,0.11355674,0.49502388,0.46471053,0.030423272824754904
1025B.tif,0.34312534,0.111410685,0.47752023,0.5628615,0.00935226141237745
1026A.tif,0.5505723,0.15751418,0.56453127,0.5907036,0.09153789445465685
1026B.tif,0.481585,0.20345512,0.516665,0.54848623,0.08980976179534314
1027A.tif,0.8218585,0.19838914,0.6337037,0.71202564,0.08474910960477941
1027B.tif,0.8831543,0.15440862,0.7266846,0.7532176,0.1365988338694853
1028A.tif,0.5182003,0.12938686,0.59881115,0.556426,0.02390017041973039
1028B.tif,0.60545963,0.117642514,0.5506396,0.5141096,0.041467045802696084
1029A.tif,0.36062875,0.1232691,0.49917427,0.46751606,0.04795879289215686
1029B.tif,0.4239486,0.099086635,0.535151,0.5725701,0.04212814031862745
102A.tif,0.6760069,0.08652874,0.4782312,0.52989846,0.013758999693627453
102B.tif,0.7099026,0.104719825,0.43763745,0.6051947,0.020244044883578432
1030A.tif,0.61896825,0.13004285,0.34295794,0.4557315,0.06450434666053922
1030B.tif,0.67011154,0.1377571,0.42102593,0.47084746,0.07543729894301471
1031A.tif,0.5645298,0.10487659,0.47816953,0.6130787,0.005482871859681373
1031B.tif,0.56740344,0.08709655,0.48306996,0.64272237,0.009209606694240199
1032A.tif,0.80332017,0.05709469,0.5120977,0.50422114,0.10923880782781864
1032B.tif,0.6494483,0.10106679,0.52381504,0.53373575,0.1060697667738971
1033A.tif,0.797747,0.15661675,0.41870147,0.49069458,0.117919921875
1033B.tif,0.8674139,0.1400728,0.40911865,0.48222288,0.13486328125
